"area","files","lines","bytes"
"bridge-watchers","31","8225","331284"
"ci-governance","9","2367","160102"
"contracts","58","7169","325121"
"docs","140","21305","1276177"
"foreign-contracts","13","4238","146378"
"node-plugins","42","3337","143511"
"operator-tools","60","6552","286269"
"other","11","12421","551389"
"root-governance-docs","8","3340","181601"
"runtime-libraries","128","12081","518656"
"samples","22","1335","62052"
"sdk","13","4421","143059"
"tests","209","29153","1176222"
"upstream-submodule-boundary","4","0","0"
"zkvm-bridge","11","1666","57058"
