"path","area","kind","line","visibility","symbol_type","name"
"bridge/neo-zkvm-guest/src/lib.rs","zkvm-bridge","rust","18","pub","fn","execute_batch"
"bridge/neo-zkvm-guest/src/lib.rs","zkvm-bridge","rust","56","pub","struct","BatchResult"
"bridge/neo-zkvm-guest/src/lib.rs","zkvm-bridge","rust","64","pub","enum","ExecutionError"
"bridge/neo-zkvm-guest/src/lib.rs","zkvm-bridge","rust","71","private","struct","BatchRequest"
"bridge/neo-zkvm-guest/src/lib.rs","zkvm-bridge","rust","81","private","struct","L1Message"
"bridge/neo-zkvm-guest/src/lib.rs","zkvm-bridge","rust","85","private","fn","parse_batch_request"
"bridge/neo-zkvm-guest/src/lib.rs","zkvm-bridge","rust","169","private","fn","apply_l1_message"
"bridge/neo-zkvm-guest/src/lib.rs","zkvm-bridge","rust","196","private","fn","apply_transaction"
"bridge/neo-zkvm-guest/src/lib.rs","zkvm-bridge","rust","232","private","fn","hash_proof_output"
"bridge/neo-zkvm-guest/src/lib.rs","zkvm-bridge","rust","236","pub","fn","merkle_root"
"bridge/neo-zkvm-guest/src/lib.rs","zkvm-bridge","rust","262","pub","fn","hash256"
"bridge/neo-zkvm-guest/src/lib.rs","zkvm-bridge","rust","270","private","fn","hash_public_inputs"
"bridge/neo-zkvm-guest/src/lib.rs","zkvm-bridge","rust","300","private","fn","build_minimal_request"
"bridge/neo-zkvm-guest/src/lib.rs","zkvm-bridge","rust","315","private","fn","parse_then_execute_minimal"
"bridge/neo-zkvm-guest/src/lib.rs","zkvm-bridge","rust","323","private","fn","determinism_same_input_same_output"
"bridge/neo-zkvm-guest/src/lib.rs","zkvm-bridge","rust","331","private","fn","truncated_input_rejected"
"bridge/neo-zkvm-guest/src/lib.rs","zkvm-bridge","rust","339","private","fn","unsupported_version_rejected"
"bridge/neo-zkvm-guest/src/lib.rs","zkvm-bridge","rust","349","private","fn","merkle_root_single_leaf_is_leaf"
"bridge/neo-zkvm-guest/src/lib.rs","zkvm-bridge","rust","355","private","fn","merkle_root_empty_is_zero"
"bridge/neo-zkvm-guest/src/lib.rs","zkvm-bridge","rust","360","private","fn","merkle_root_changes_with_leaf_order"
"bridge/neo-zkvm-guest/src/lib.rs","zkvm-bridge","rust","367","private","fn","hash256_equals_double_sha256"
"bridge/neo-zkvm-guest/src/main.rs","zkvm-bridge","rust","14","pub","fn","main"
"bridge/neo-zkvm-host/build.rs","zkvm-bridge","rust","10","private","fn","main"
"bridge/neo-zkvm-host/build.rs","zkvm-bridge","rust","63","private","fn","output_excerpt"
"bridge/neo-zkvm-host/build.rs","zkvm-bridge","rust","77","private","fn","which_or_default"
"bridge/neo-zkvm-host/build.rs","zkvm-bridge","rust","82","private","fn","strip_outer_cargo_tooling"
"bridge/neo-zkvm-host/src/bin/prove_batch.rs","zkvm-bridge","rust","23","private","fn","main"
"bridge/neo-zkvm-host/src/bin/prove_batch.rs","zkvm-bridge","rust","34","private","fn","run_oneshot"
"bridge/neo-zkvm-host/src/bin/prove_batch.rs","zkvm-bridge","rust","110","private","struct","DaemonConfig"
"bridge/neo-zkvm-host/src/bin/prove_batch.rs","zkvm-bridge","rust","116","private","fn","run_daemon"
"bridge/neo-zkvm-host/src/bin/prove_batch.rs","zkvm-bridge","rust","162","private","fn","parse_daemon_args"
"bridge/neo-zkvm-host/src/bin/prove_batch.rs","zkvm-bridge","rust","211","private","fn","scan_once"
"bridge/neo-zkvm-host/src/bin/prove_batch.rs","zkvm-bridge","rust","276","private","fn","finalize_input"
"bridge/neo-zkvm-host/src/bin/prove_batch.rs","zkvm-bridge","rust","299","private","fn","prove_one"
"bridge/neo-zkvm-host/src/bin/prove_batch.rs","zkvm-bridge","rust","322","private","fn","print_usage"
"bridge/neo-zkvm-host/src/bin/prove_batch.rs","zkvm-bridge","rust","339","private","fn","hex_decode"
